id,title,date,thumbnail,views,likes,dislikes,comments
xlNC8Q62imU,Inside Maggie Gyllenhaal and Peter Sarsgaard's Brooklyn Home | Open Door | Architectural Digest,2019-02-12T20:00:03.000Z,https://i.ytimg.com/vi/xlNC8Q62imU/default.jpg,"['3136500', '31902', '1485', '3881']"
UOhskKdvhrI,Inside Kris Jenner's Hidden Hills Home  | Open Door | Architectural Digest,2019-02-06T17:15:02.000Z,https://i.ytimg.com/vi/UOhskKdvhrI/default.jpg,"['8846674', '95140', '4793', '4992']"
fjLdTdCSJi4,Kylie Jenner Talks About Her New Home with Kris | Architectural Digest,2019-02-05T17:00:06.000Z,https://i.ytimg.com/vi/fjLdTdCSJi4/default.jpg,"['4732057', '80244', '6402', '4448']"
AOu11Xr1bn8,Inside a Massive $21M NYC Townhouse | On the Market | Architectural Digest,2019-01-30T17:00:04.000Z,https://i.ytimg.com/vi/AOu11Xr1bn8/default.jpg,"['6348946', '109878', '4095', '9171']"
iY1UnR7z7P0,Inside Lance Armstrong's Aspen Home | Open Door | Architectural Digest,2019-01-15T17:00:02.000Z,https://i.ytimg.com/vi/iY1UnR7z7P0/default.jpg,"['1321833', '12256', '3443', '2381']"
AzatUAZWn0Q,Inside Shonda Rhimes' 1920s Style Home Study | Open Door | Architectural Digest,2019-01-11T17:00:04.000Z,https://i.ytimg.com/vi/AzatUAZWn0Q/default.jpg,"['399275', '6555', '259', '275']"
4Fj3kohCzik,Inside Drag Queen Alyssa Edwards' Home | Open Door | Architectural Digest,2018-12-24T17:05:34.000Z,https://i.ytimg.com/vi/4Fj3kohCzik/default.jpg,"['2708993', '69375', '1499', '2030']"
7R2RyqU4hjI,Inside Dominic West's Castle Home | Open Door | Architectural Digest,2018-12-20T18:00:27.000Z,https://i.ytimg.com/vi/7R2RyqU4hjI/default.jpg,"['2680464', '40472', '843', '3340']"
SrlAlMsdr3g,Inside Jensen and Danneel Ackles' Home | Open Door | Architectural Digest,2018-11-28T17:01:15.000Z,https://i.ytimg.com/vi/SrlAlMsdr3g/default.jpg,"['7722582', '222316', '2288', '9679']"
jMV54EADGZI,Inside Ashley Tisdale's Home | Open Door | Architectural Digest,2018-11-12T17:01:24.000Z,https://i.ytimg.com/vi/jMV54EADGZI/default.jpg,"['4221452', '76156', '1206', '2433']"
Fq85Bz5L1fQ,'The Nutcracker and the Four Realms' Sets Explained by the Movie's Set Designer | Notes on a Set,2018-11-06T18:01:17.000Z,https://i.ytimg.com/vi/Fq85Bz5L1fQ/default.jpg,"['35052', '830', '16', '37']"
nrhZVMb6yVk,"Hidden Details of The Plaza Hotel, From Lobby to Penthouse | Architectural Digest",2018-10-30T16:01:06.000Z,https://i.ytimg.com/vi/nrhZVMb6yVk/default.jpg,"['1817742', '25969', '722', '1557']"
Qb6D2aSS2w0,Inside a $12M NYC Loft with an Entirely Gold Bathroom | On the Market | Architectural Digest,2018-10-17T16:00:50.000Z,https://i.ytimg.com/vi/Qb6D2aSS2w0/default.jpg,"['1335269', '12384', '2257', '1907']"
HphRKCxIK_Q,Inside Alessandra Ambrosio's Home | Open Door | Architectural Digest,2018-10-10T16:00:42.000Z,https://i.ytimg.com/vi/HphRKCxIK_Q/default.jpg,"['5733706', '83537', '2342', '2663']"
roi5V8ppi7Y,Hidden Details of the New York Public Library | Architectural Digest,2018-09-27T21:24:46.000Z,https://i.ytimg.com/vi/roi5V8ppi7Y/default.jpg,"['800750', '12626', '183', '536']"
aTSgJgRnqG0,Inside Jesse Tyler Ferguson's Home | Open Door | Architectural Digest,2018-09-25T16:00:43.000Z,https://i.ytimg.com/vi/aTSgJgRnqG0/default.jpg,"['2886049', '56378', '1424', '2436']"
WOv1_ZtD2-I,Alessandra Ambrosio Shares the Most Remarkable Things In Her Home | Architectural Digest,2018-10-09T16:01:27.000Z,https://i.ytimg.com/vi/WOv1_ZtD2-I/default.jpg,"['298144', '3168', '168', '115']"
B_uds5wUHeY,How a Painter Uses Her Artwork to Combat Diabetes | Architectural Digest,2018-09-08T09:01:12.000Z,https://i.ytimg.com/vi/B_uds5wUHeY/default.jpg,"['377359', '3752', '524', '131']"
y6GJV8Qwbck,Inside Lily Aldridge's Nashville Home | Open Door | Architectural Digest,2018-08-08T12:01:09.000Z,https://i.ytimg.com/vi/y6GJV8Qwbck/default.jpg,"['2246004', '35220', '906', '1072']"
MUExoqhDr_E,Expert Guesses Cheap vs. Expensive Bed Sheets | Price Points: Home | Architectural Digest,2018-08-06T16:00:46.000Z,https://i.ytimg.com/vi/MUExoqhDr_E/default.jpg,"['586199', '15523', '308', '1221']"
za-ogD7nLi8,Inside Michael Kors' Penthouse Apartment in Greenwich Village | Open Door | Architectural Digest,2018-08-01T12:00:48.000Z,https://i.ytimg.com/vi/za-ogD7nLi8/default.jpg,"['4850014', '47320', '2682', '3279']"
jX8hxcCSjog,Inside Wiz Khalifa's $4.6M L.A. Mansion & Recording Studio | Open Door | Architectural Digest,2018-07-16T16:00:53.000Z,https://i.ytimg.com/vi/jX8hxcCSjog/default.jpg,"['39567079', '576806', '15117', '18650']"
OiIxePlKZ1A,'The Crown' Sets Explained by the Show's Set Designer | Notes on a Set,2018-06-19T19:55:42.000Z,https://i.ytimg.com/vi/OiIxePlKZ1A/default.jpg,"['262556', '4932', '69', '101']"
JvH4PSn4wm0,Inside Mandy Moore's $2.6 Million Mid-century Pasadena Home | Open Door | Architectural Digest,2018-06-21T17:00:32.000Z,https://i.ytimg.com/vi/JvH4PSn4wm0/default.jpg,"['4786783', '74059', '1611', '2828']"
_b4XQUE_u8o,Every Detail of Grand Central Terminal Explained | Architectural Digest,2018-06-06T17:59:53.000Z,https://i.ytimg.com/vi/_b4XQUE_u8o/default.jpg,"['611457', '13383', '132', '548']"
IvIEZXQruxg,Inside Liev Schreiber’s Renovated NYC Apartment | Open Door | Architectural Digest,2018-06-04T16:03:35.000Z,https://i.ytimg.com/vi/IvIEZXQruxg/default.jpg,"['2494173', '31140', '488', '1329']"
mdTv3V4ALzg,Inside Zachary Quinto's $3.2 Million NYC Loft | Open Door | Architectural Digest,2018-05-08T16:02:47.000Z,https://i.ytimg.com/vi/mdTv3V4ALzg/default.jpg,"['2889325', '40322', '1461', '2448']"
GOUvZrKiRI8,Inside Tommy Hilfiger’s $50 Million Plaza Hotel Penthouse | Open Door | Architectural Digest,2018-04-25T16:47:02.000Z,https://i.ytimg.com/vi/GOUvZrKiRI8/default.jpg,"['11791082', '113548', '6262', '8078']"
TvLGiAbgRc4,Blac Chyna Designs a Dream House That Has a 10-Car Garage and a Money Room | Architectural Digest,2018-04-10T16:00:31.000Z,https://i.ytimg.com/vi/TvLGiAbgRc4/default.jpg,"['434700', '5265', '2223', '838']"
RF-Mqs2qC-M,Inside Zedd's $16 Million Mansion That Has a Skittles Machine | Open Door | Architectural Digest,2018-03-29T12:00:59.000Z,https://i.ytimg.com/vi/RF-Mqs2qC-M/default.jpg,"['41258271', '716812', '23847', '59580']"
A6Kg4SOPHlk,Jennifer Aniston's Designer Breaks Down Jen's New Home | Celebrity Homes | Architectural Digest,2018-02-15T03:31:16.000Z,https://i.ytimg.com/vi/A6Kg4SOPHlk/default.jpg,"['2331143', '12128', '985', '364']"
ATGZ58IRwfE,Inside Nate Berkus and Jeremiah Brent's California Dream House | Open Door | Architectural Digest,2018-02-07T17:00:24.000Z,https://i.ytimg.com/vi/ATGZ58IRwfE/default.jpg,"['3122484', '39457', '1405', '1723']"
